id,siteId,ruleId,assetId,deviceTypeId,deviceId
1,1001,4,2,2,2
2,1001,5,3,2,2
3,1001,6,4,2,2
4,1001,7,5,2,2
5,1001,8,6,2,2
6,1001,9,7,2,2
7,1001,9,10,3,3
8,1001,69,11,3,3
9,1001,8,10,3,3
10,1001,68,11,3,3
11,1001,70,10,2,3
12,1001,70,10,2,3
13,1001,70,11,2,3
14,1001,70,8,2,3
15,1001,9,8,2,3
16,1001,58,11,2,3
17,1001,22,11,2,3
18,1001,34,8,2,3
19,1001,31,8,2,3
20,1001,31,9,2,3
21,1001,4,11,2,3
22,1001,5,10,2,3
23,1001,6,31,2,3
24,1001,7,32,2,3
25,1001,8,33,2,3
26,1001,9,34,2,3
27,1001,27,33,2,3
28,1001,4,32,2,3
29,1001,47,10,2,3
30,1001,4,34,2,3
31,1001,74,31,2,3
32,1001,7,32,2,3
33,1001,77,33,2,3
34,1001,7,34,2,3
35,1001,67,9,2,3
36,1001,8,10,2,3
37,1001,7,34,2,3
38,1001,64,33,2,3
39,1001,21,32,2,3
40,1001,4,10,2,4
41,1001,5,11,2,4
42,1001,6,31,2,4
43,1001,7,32,2,4
44,1001,7,33,2,4
45,1001,8,34,2,4
46,1001,9,10,2,4
47,1001,4,34,2,5
48,1001,5,33,2,5
49,1001,6,32,2,5
50,1001,7,31,2,5
51,1001,8,11,2,5
52,1001,9,10,2,5
53,1001,4,34,2,6
54,1001,5,33,2,6
55,1001,6,32,2,6
56,1001,7,31,2,6
57,1001,8,11,2,6
58,1001,9,10,2,6
59,1001,4,34,2,7
60,1001,5,33,2,7
61,1001,6,32,2,7
62,1001,7,31,2,7
63,1001,8,11,2,7
64,1001,9,10,2,7
65,1001,4,34,2,8
66,1001,5,33,2,8
67,1001,6,32,2,8
68,1001,7,31,2,8
69,1001,8,34,2,8
70,1001,9,10,2,8
71,1001,4,34,2,9
72,1001,5,33,2,9
73,1001,6,32,2,9
74,1001,7,31,2,9
75,1001,8,33,2,9
76,1001,9,10,2,9
77,1001,4,34,2,10
78,1001,5,33,2,10
79,1001,6,32,2,10
80,1001,7,31,2,10
81,1001,8,32,2,10
82,1001,9,10,2,10
83,1001,4,34,2,11
84,1001,5,33,2,11
85,1001,6,32,2,11
86,1001,7,31,2,11
87,1001,8,31,2,11
88,1001,9,10,2,11
89,1001,4,34,2,12
90,1001,5,33,2,12
91,1001,6,32,2,12
92,1001,7,31,2,12
93,1001,8,11,2,12
94,1001,9,10,2,12
95,1001,4,34,2,13
96,1001,5,33,2,13
97,1001,6,32,2,13
98,1001,7,31,2,13
99,1001,8,10,2,13
100,1001,9,10,2,13
101,1001,4,192,2,105
102,1001,5,193,2,105
103,1001,6,194,2,105
105,1001,8,196,2,105
106,1001,9,197,2,105
107,1001,7,197,2,105
108,1033,4,1,2,105
109,1033,5,2,2,105
110,1033,6,3,2,105
111,1033,7,6,2,105
112,1033,8,5,2,105
113,1033,9,6,2,105
119,1034,4,199,2,106
120,1034,5,200,2,106
121,1034,6,201,2,106
122,1034,7,202,2,106
123,1034,8,199,2,106
124,1034,9,200,2,106
125,1034,91,199,2,106
126,1034,92,199,2,106
127,1034,93,199,2,106
128,1034,94,199,2,106
129,1034,95,199,2,106
130,1034,96,199,2,106
131,1034,97,200,2,106
132,1034,98,200,2,106
133,1034,99,200,2,106
134,1034,100,200,2,106
135,1034,101,200,2,106
136,1034,102,200,2,106
137,1034,103,201,2,106
138,1034,104,201,2,106
139,1034,105,201,2,106
140,1034,106,201,2,106
141,1034,107,201,2,106
142,1034,108,201,2,106
143,1034,109,202,2,106
144,1034,110,202,2,106
145,1034,111,202,2,106
146,1034,112,202,2,106
147,1034,113,202,2,106
148,1034,114,202,2,106
149,1034,115,203,2,106
150,1034,116,203,2,106
151,1034,117,203,2,106
152,1034,118,203,2,106
153,1034,119,203,2,106
154,1034,120,203,2,106
155,1034,121,204,2,106
156,1034,122,204,2,106
157,1034,123,204,2,106
158,1034,124,204,2,106
159,1034,125,204,2,106
160,1034,126,204,2,106
161,1034,91,205,2,107
162,1034,92,205,2,107
163,1034,93,205,2,107
164,1034,94,205,2,107
165,1034,95,205,2,107
166,1034,96,205,2,107
167,1034,97,206,2,107
168,1034,98,206,2,107
169,1034,99,206,2,107
170,1034,100,206,2,107
171,1034,101,206,2,107
172,1034,102,206,2,107
173,1034,103,207,2,107
174,1034,104,207,2,107
175,1034,105,207,2,107
176,1034,106,207,2,107
177,1034,107,207,2,107
178,1034,108,207,2,107
179,1034,109,208,2,107
180,1034,110,208,2,107
181,1034,111,208,2,107
182,1034,112,208,2,107
183,1034,113,208,2,107
184,1034,114,208,2,107
185,1034,115,209,2,107
186,1034,116,209,2,107
187,1034,117,209,2,107
188,1034,118,209,2,107
189,1034,119,209,2,107
190,1034,120,209,2,107
191,1034,121,210,2,107
192,1034,122,210,2,107
193,1034,123,210,2,107
194,1034,124,210,2,107
195,1034,125,210,2,107
196,1034,126,210,2,107
197,1025,8,4,3,114
